window_min,n_valid,n_frames,median_abslat,frac_polar_ge60,frac_tropics_lt30,median_dist_km,median_tdiff_s
5,12258,25,81.7113172216914,1.0,0.0,0.288621946645822,174.665024768
10,23044,44,81.2794834653688,1.0,0.0,0.2870925588489242,286.666039232
15,37447,68,81.36896352960798,1.0,0.0,0.286576181013796,469.33209024
20,49561,89,81.25605127136143,1.0,0.0,0.2884386212741016,638.075031936
30,93247,134,81.39513013017499,1.0,0.0,0.3188890783955381,1152.08035968
45,154024,196,81.18003062348345,1.0,0.0,0.3346055012116512,1587.7095952
60,220056,214,81.09930147482049,1.0,0.0,0.34358200578678666,2068.314926848
90,359705,214,80.8325960998448,1.0,0.0,0.3515282027161173,3055.174744448
120,497996,245,80.44555883103055,1.0,0.0,0.3561562233246801,3981.134701952
