stratum,n,bias,rmse,mae,r,r_log,slope,intercept,view,retrieval,qc_mode
all,273223,6.744516395793337,42.81395801215675,12.690870015661638,0.02997678039027707,0.30989438098093713,0.14318926654371453,12.933601918429776,sample,R10,qc_strict
ocean,210099,6.922075984473997,42.44075060954136,12.575508592630259,0.03853407785392138,0.3411949681419346,0.19801030299765535,12.711692351992346,sample,R10,qc_strict
land,63124,6.1535352789088265,44.03334556887641,13.07483363674822,0.009578073392612184,0.20481829191335646,0.03823647033619529,13.114606736707303,sample,R10,qc_strict
lat_tropics,92418,1.059793207249554,27.72422906283444,7.303045438743994,0.03250546021393382,0.34920701736760495,0.07983974539000988,7.076013092089876,sample,R10,qc_strict
lat_midlat,157116,8.616934699406357,46.638631629564344,14.676754203802469,0.02645098463853884,0.2884055845117555,0.15173230807315644,15.068695117977633,sample,R10,qc_strict
lat_polar,23689,16.503639763110495,60.962720566749155,20.539145233933375,0.013021999565705893,0.23069480516591379,0.1588050669347831,22.694956691461385,sample,R10,qc_strict
dist_lt2km,239315,5.542275928954044,39.76291562889859,11.505404663863821,0.03445076630251721,0.32825186766350734,0.15308835701417062,11.65454660872456,sample,R10,qc_strict
dist_2_5km,33157,15.259736658352955,60.11464280467185,21.06370599736395,0.009188323180251009,0.22546771397187493,0.059958639746334134,22.087260260709503,sample,R10,qc_strict
dist_ge5km,751,13.901665631420684,59.145230468754065,20.788763517912958,0.09649710618762457,0.23219578601753915,0.9661571442437872,14.154563197206485,sample,R10,qc_strict
tdiff_lt3min,109198,6.72387298962458,42.500404233313,12.567096055511684,0.033333695104454136,0.31614278920875133,0.16479875456768842,12.718632364948741,sample,R10,qc_strict
tdiff_ge3min,164025,6.758259536575634,43.021436187285715,12.773271289250753,0.02791102770842682,0.3057557748596222,0.130517374069832,13.065376617476346,sample,R10,qc_strict
water_pure_pixel,273147,6.746157137191695,42.813583111605844,12.689934956066455,0.03002666407679485,0.3099228464860848,0.1434919972259415,12.931878295584545,sample,R10,qc_strict
water_dominant_pixel,75,-2.5544045954272465,33.17492502601278,12.852197925822468,0.0138218041545367,0.4297759378668094,0.02307384026985939,9.488233680363747,sample,R10,qc_strict
mixed_pixel,4,-38.26888508081436,42.773435468261574,38.26888508081436,0.8627052761515105,0.8581188706689259,0.20711509777884068,-2.2589191520878282,sample,R10,qc_strict
not_water_pixel,1,,,,,,,,sample,R10,qc_strict
phase_agree_liquid,200560,9.987574195748854,48.99373752802669,15.25857605195261,0.028191442241088813,0.2979974404421096,0.17435287059696192,15.95209252278903,sample,R10,qc_strict
phase_disagree_atlid_liquid,72587,-2.2099728208479457,16.288215103029174,5.592704622936152,0.08801612351615365,0.391884151793998,0.10166772606308207,4.2727683255006825,sample,R10,qc_strict
atlid_radar_synergy,150320,4.860921784581609,41.647169159833766,13.229000256396247,0.027665804130081878,0.2797379063897133,0.10486077482679046,13.206766634666417,sample,R10,qc_strict
atlid_only,122903,9.048300208697393,44.19917754973903,12.032694561952397,0.04513309056613634,0.2888426711009592,0.4497520323055702,11.609589322084153,sample,R10,qc_strict
n_liq_eq1,0,,,,,,,,sample,R10,qc_strict
n_liq_eq2,0,,,,,,,,sample,R10,qc_strict
n_liq_3_4,172038,3.4395560048860028,34.52838114936984,9.5516708668519,0.030967738342369593,0.3301743223467124,0.10755079906152315,9.538921780068701,sample,R10,qc_strict
n_liq_ge5,101185,12.363716630323317,54.060964235679684,18.028237640931483,0.01645584860742327,0.24823986081659027,0.12390396101294555,19.27152881410189,sample,R10,qc_strict
het_cv_lt0p25,108951,5.286420397638323,41.22777782991938,12.484154654083277,0.04092958984400526,0.34089813998994867,0.19789457646814934,12.954364483721344,sample,R10,qc_strict
het_cv_0p25_0p75,119711,6.834370557522752,43.10602411559848,12.878581327134867,0.024730033557602244,0.2725155145778322,0.11829571983107103,12.764340348582301,sample,R10,qc_strict
het_cv_ge0p75,44561,10.068151088466237,45.733466294054466,12.69200860212856,-0.0046721489287539384,0.13198572381813084,-0.027338037616278125,12.994397475402472,sample,R10,qc_strict
tau_thin,32237,12.071161493717213,46.191747293677274,12.077212998221862,-0.017740819663098303,0.007579416325937083,-3.2529843388036106,14.326342512773943,sample,R10,qc_strict
tau_mid,43426,8.07902988034287,37.22632186351978,8.41100181057476,-0.018476098762154784,0.06419145705112295,-1.1512871171071346,12.264880604116719,sample,R10,qc_strict
tau_thick,124852,8.28746406954991,44.00797232301166,12.17094284418896,0.0766651723220496,0.1805421264023915,1.6927210017537786,3.9305866757723504,sample,R10,qc_strict
tau_very_thick,62970,-0.760480968442919,41.753577732212044,17.108491363097112,-0.020906145829273224,0.020850912585535567,-0.06326526766421282,17.577847110880573,sample,R10,qc_strict
all,274839,8.219079546907823,46.337209140043846,14.1293807112153,0.02397637699047855,0.28399336902660666,0.1236364953916771,14.540837851372467,sample,R11,qc_strict
ocean,208440,8.285884356604214,45.71475442047479,13.93393616081281,0.03078706691208874,0.31449193462899805,0.1694988999645413,14.284343244584655,sample,R11,qc_strict
land,66399,8.009365627524765,48.2390673478734,14.742921006790453,0.008593318082362899,0.18710712479492456,0.03810048794221699,14.920753063659447,sample,R11,qc_strict
lat_tropics,92532,2.078630993825259,31.171504803875433,8.293036488245894,0.029300745082118267,0.3089207041264841,0.08163829732853686,8.074155105265847,sample,R11,qc_strict
lat_midlat,158644,10.368694350304226,50.538212621651915,16.389681148199283,0.018403636568026623,0.2640269651560419,0.11413969166107531,17.10999162227282,sample,R11,qc_strict
lat_polar,23663,17.819066642534633,63.365947821145646,21.79812521169779,0.001123380506409914,0.2246107503573201,0.014340056191149902,24.95138872692826,sample,R11,qc_strict
dist_lt2km,240817,6.854194752283848,43.0162440952879,12.78237286131932,0.027947818733385647,0.3005851531308186,0.13429093902737246,13.09362960814469,sample,R11,qc_strict
dist_2_5km,33291,17.99104525005015,65.34385454693178,23.749864731326305,0.005812422216179046,0.20824648183395006,0.040568384777771825,24.953919388623568,sample,R11,qc_strict
dist_ge5km,731,12.827768142873419,56.85921383164916,19.747514602985863,0.051561770045913474,0.1857583536702027,0.5021180760234534,16.46488163223112,sample,R11,qc_strict
tdiff_lt3min,109582,8.30253554935853,46.31814351970936,14.120399049617074,0.026253524138409,0.2881024735999377,0.1405927123914372,14.46158019514506,sample,R11,qc_strict
